source_store_name,retailer_name,store_branch_name,row_count,query,category_group_code,search_stage,validation_status,match_status,store_status,place_name,category_name,address_name,road_address_name,region_1depth_name,region_2depth_name,region_3depth_name,x,y,place_url
GS더프레시방이점,GS더프레시,방이점,225,GS더프레시 방이점,MT1,primary_category,valid,matched,open,GS더프레시 방이점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 송파구 방이동 217,서울 송파구 오금로31가길 20,서울,송파구,방이동,127.12315644815168,37.50733824879856,http://place.map.kakao.com/10883134
GS더프레시배곧신도시점,GS더프레시,배곧신도시점,225,GS더프레시 배곧신도시점,MT1,primary_category,valid,matched,open,GS더프레시 배곧신도시점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 시흥시 배곧동 243,경기 시흥시 배곧1로 27-15,경기,시흥시,배곧동,126.71362443646575,37.36331759886302,http://place.map.kakao.com/2060888266
GS더프레시본리점,GS더프레시,본리점,225,GS더프레시 본리점,MT1,primary_category,valid,matched,open,GS더프레시 본리점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",대구 달서구 본리동 76-2,대구 달서구 장기로 167,대구,달서구,본리동,128.54204649671877,35.842824495479476,http://place.map.kakao.com/21312511
GS더프레시부산하버시티점,GS더프레시,부산하버시티점,225,GS더프레시 부산하버시티점,MT1,primary_category,valid,matched,open,GS더프레시 부산하버시티점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 동구 좌천동 68-164,부산 동구 성남이로 25,부산,동구,좌천동,129.05673724759,35.1325121179664,http://place.map.kakao.com/1041973081
GS더프레시부암점,GS더프레시,부암점,225,GS더프레시 부암점,MT1,primary_category,valid,matched,open,GS더프레시 부암점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 부산진구 부암동 500,부산 부산진구 당감서로80번길 19,부산,부산진구,부암동,129.0384512159826,35.16762156732031,http://place.map.kakao.com/25619567
GS더프레시부평그랑힐스점,GS더프레시,부평그랑힐스점,225,GS더프레시 부평그랑힐스점,MT1,primary_category,valid,matched,open,GS더프레시 부평그랑힐스점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",인천 부평구 청천동 36-3,인천 부평구 산청로 97,인천,부평구,청천동,126.7002831538225,37.514503227995895,http://place.map.kakao.com/1270137643
GS더프레시부평산곡점,GS더프레시,부평산곡점,225,GS더프레시 부평산곡점,MT1,primary_category,valid,matched,open,GS더프레시 부평산곡점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",인천 부평구 산곡동 137-1,인천 부평구 원적로432번길 10,인천,부평구,산곡동,126.713939851056,37.50303310048,http://place.map.kakao.com/11839498
GS더프레시부평청천점,GS더프레시,부평청천점,225,GS더프레시 부평청천점,MT1,primary_category,valid,matched,open,GS더프레시 부평청천점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",인천 부평구 청천동 36-3,인천 부평구 산청로 97,인천,부평구,청천동,126.701705262537,37.5167007643556,http://place.map.kakao.com/6275081
GS더프레시북가좌점,GS더프레시,북가좌점,225,GS더프레시 북가좌점,MT1,primary_category,valid,matched,open,GS더프레시 북가좌점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 서대문구 북가좌동 306-17,서울 서대문구 응암로 54,서울,서대문구,북가좌동,126.91004264432698,37.57789031431339,http://place.map.kakao.com/8625352
GS더프레시분당시범단지점,GS더프레시,분당시범단지점,225,GS더프레시 분당시범단지점,MT1,primary_category,valid,matched,open,GS더프레시 분당시범단지점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 성남시 분당구 서현동 89,경기 성남시 분당구 중앙공원로31번길 42,경기,성남시,분당구,127.12573675258146,37.382696467442074,http://place.map.kakao.com/12660530
GS더프레시상계점,GS더프레시,상계점,240,GS더프레시 상계점,MT1,primary_category,valid,matched,open,GS더프레시 상계점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 노원구 상계동 684,서울 노원구 한글비석로 471,서울,노원구,상계동,127.06547082858748,37.66402642045067,http://place.map.kakao.com/7999242
GS더프레시서인천점,GS더프레시,서인천점,225,GS더프레시 서인천점,MT1,primary_category,valid,matched,open,GS더프레시 서인천점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",인천 서해구 심곡동 249-4,인천 서해구 탁옥로34번길 1,인천,서해구,심곡동,126.6739855920648,37.54370158609612,http://place.map.kakao.com/8011458
GS더프레시서초점,GS더프레시,서초점,234,GS더프레시 서초점,MT1,primary_category,valid,matched,open,GS더프레시 서초점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 서초구 반포동 30-25,서울 서초구 서초중앙로 238,서울,서초구,반포동,127.0121723080741,37.50290850933364,http://place.map.kakao.com/21308698
GS더프레시성북돈암점,GS더프레시,성북돈암점,225,GS더프레시 성북돈암점,MT1,primary_category,valid,matched,open,GS더프레시 성북돈암점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 성북구 돈암동 636,서울 성북구 북악산로 844,서울,성북구,돈암동,127.01814658705831,37.59895956994234,http://place.map.kakao.com/21310030
GS더프레시세종아름점,GS더프레시,세종아름점,225,GS더프레시 세종아름점,MT1,primary_category,valid,matched,open,GS더프레시 세종아름점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",세종특별자치시 아름동 1287,세종특별자치시 보듬3로 104-7,세종특별자치시,,아름동,127.24829807389474,36.51229765860959,http://place.map.kakao.com/677274731
GS더프레시속초교동점,GS더프레시,속초교동점,225,GS더프레시 속초교동점,MT1,primary_category,valid,matched,open,GS더프레시 속초교동점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",강원특별자치도 속초시 교동 619-34,강원특별자치도 속초시 미시령로 3391,강원특별자치도,속초시,교동,128.576994399611,38.2072077766829,http://place.map.kakao.com/17816016
GS더프레시송도그린워크점,GS더프레시,송도그린워크점,225,GS더프레시 송도그린워크점,MT1,primary_category,valid,matched,open,GS더프레시 송도그린워크점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",인천 연수구 송도동 17-3,인천 연수구 아트센터대로97번길 15,인천,연수구,송도동,126.64273021463369,37.401607250703826,http://place.map.kakao.com/25983909
GS더프레시송파석촌호수점,GS더프레시,송파석촌호수점,225,GS더프레시 송파석촌호수점,MT1,primary_category,valid,matched,open,GS더프레시 송파석촌호수점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 송파구 석촌동 5-8,서울 송파구 백제고분로33길 25,서울,송파구,석촌동,127.098601442782,37.5049664267649,http://place.map.kakao.com/1447681086
